iter	Passed	Remaining
1584	6507	61
1585	6511	57
1586	6515	53
1587	6519	49
1588	6522	45
1589	6526	41
1590	6530	36
1591	6534	32
1592	6538	28
1593	6542	24
1594	6545	20
1595	6549	16
1596	6553	12
1597	6557	8
1598	6561	4
1599	6565	0
